Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O)
5310,2011.0,22.0,0.0,1.0,66.0,78.0,-12.0,0.0,10.0,224.0,125.0,349.0,1.79,106.0,65.0,41.0,25.0,19.0,8.0,6.0,15.0,3.0,26.0,30.8,43.62,13.42,36.0,51.0,39.0,55.0,2.12,6.88,41.8,14.5,186.5,85.5,24.33,89.1,7.0,6.0,5.0,4.0,135.0,205.0,245.0,70.2,8.0,13.0,47.0,13.0,75.0,221.0,151.0,372.0,1.46,90.0,62.0,33.0,19.0,25.0,10.0,8.0,14.0,4.0,28.0,35.7,37.2,13.29,37.0,58.0,40.0,54.0,1.93,5.4,44.4,18.5,186.6,86.4,25.33,106.1,8.0,3.0,5.0,6.0,152.0,209.0,248.0,66.7,17.0,9.0,69.0,10.0,80.0
5329,2011.0,24.0,0.0,1.0,66.0,86.0,-20.0,0.0,15.0,252.0,172.0,424.0,1.47,144.0,42.0,36.0,21.0,18.0,9.0,8.0,7.0,5.0,21.0,42.9,47.11,20.19,29.0,50.0,36.0,46.0,2.19,5.11,34.8,19.6,187.1,85.7,24.0,80.7,8.0,6.0,5.0,3.0,139.0,278.0,325.0,76.7,15.0,13.0,40.0,23.0,88.9,196.0,156.0,352.0,1.26,85.0,63.0,25.0,18.0,21.0,13.0,12.0,6.0,2.0,21.0,61.9,27.08,16.76,34.0,51.0,35.0,51.0,2.43,3.92,37.3,25.5,187.8,87.8,27.0,136.7,1.0,6.0,5.0,10.0,124.0,227.0,268.0,76.1,10.0,11.0,56.0,12.0,92.3
5337,2011.0,25.0,0.0,0.0,149.0,87.0,62.0,1.0,5.0,224.0,147.0,371.0,1.52,86.0,67.0,45.0,18.0,20.0,21.0,15.0,22.0,1.0,44.0,47.7,17.67,8.43,38.0,42.0,39.0,62.0,1.41,2.95,69.4,33.9,186.5,85.4,24.66,91.4,7.0,6.0,5.0,4.0,167.0,201.0,268.0,72.2,21.0,24.0,59.0,18.0,71.4,185.0,128.0,313.0,1.45,65.0,65.0,31.0,20.0,18.0,13.0,5.0,9.0,0.0,22.0,59.1,24.08,14.23,37.0,45.0,30.0,57.0,2.59,4.38,38.6,22.8,186.8,84.8,24.33,91.6,9.0,5.0,4.0,4.0,138.0,168.0,220.0,70.3,15.0,9.0,61.0,8.0,38.5
5339,2011.0,26.0,1.0,0.0,98.0,101.0,-3.0,0.0,17.0,198.0,105.0,303.0,1.89,68.0,75.0,38.0,22.0,29.0,15.0,10.0,5.0,3.0,23.0,65.2,20.2,13.17,42.0,59.0,29.0,51.0,2.22,3.4,39.2,29.4,186.5,85.7,24.66,87.8,8.0,6.0,4.0,4.0,155.0,143.0,206.0,68.0,16.0,9.0,50.0,7.0,66.7,189.0,133.0,322.0,1.42,76.0,83.0,61.0,29.0,22.0,15.0,7.0,8.0,3.0,26.0,57.7,21.47,12.38,47.0,47.0,33.0,48.0,1.85,3.2,47.9,31.2,188.7,89.7,24.8,103.4,4.0,10.0,2.0,6.0,146.0,179.0,223.0,69.3,13.0,9.0,70.0,6.0,46.7
5344,2012.0,1.0,1.0,1.0,125.0,81.0,44.0,1.0,14.0,219.0,156.0,375.0,1.4,103.0,64.0,26.0,20.0,22.0,18.0,11.0,14.0,3.0,35.0,51.4,20.83,10.71,39.0,54.0,31.0,63.0,1.8,3.5,50.8,28.6,187.1,86.7,24.8,93.7,6.0,6.0,6.0,4.0,151.0,227.0,275.0,73.3,13.0,18.0,70.0,11.0,61.1,178.0,142.0,320.0,1.25,58.0,65.0,38.0,22.0,20.0,12.0,6.0,8.0,1.0,21.0,57.1,26.67,15.24,32.0,46.0,42.0,45.0,2.14,3.75,44.4,26.7,187.5,86.8,23.8,70.5,10.0,6.0,4.0,2.0,136.0,180.0,230.0,71.9,6.0,10.0,46.0,8.0,50.0
5352,2012.0,2.0,1.0,1.0,154.0,63.0,91.0,1.0,2.0,239.0,153.0,392.0,1.56,104.0,65.0,51.0,20.0,16.0,23.0,15.0,12.0,4.0,39.0,59.0,17.04,10.05,47.0,37.0,29.0,67.0,1.72,2.91,52.2,34.3,187.1,86.7,24.8,94.7,6.0,6.0,6.0,4.0,165.0,224.0,288.0,73.5,16.0,19.0,59.0,16.0,65.2,176.0,132.0,308.0,1.33,58.0,63.0,35.0,16.0,20.0,9.0,5.0,6.0,3.0,18.0,50.0,34.22,17.11,37.0,60.0,40.0,41.0,2.28,4.56,36.6,22.0,188.0,85.9,24.24,74.8,10.0,5.0,5.0,2.0,137.0,172.0,214.0,69.5,7.0,6.0,58.0,0.0,55.6
5361,2012.0,3.0,0.0,0.0,122.0,62.0,60.0,1.0,4.0,241.0,170.0,411.0,1.42,115.0,54.0,56.0,17.0,13.0,18.0,6.0,9.0,5.0,32.0,56.2,22.83,12.84,50.0,42.0,28.0,58.0,1.81,3.22,46.6,31.0,187.0,86.9,24.8,86.6,7.0,7.0,5.0,3.0,151.0,263.0,312.0,75.9,8.0,13.0,47.0,11.0,33.3,208.0,124.0,332.0,1.68,95.0,48.0,26.0,13.0,17.0,9.0,5.0,6.0,2.0,17.0,52.9,36.89,19.53,32.0,42.0,38.0,39.0,2.29,4.33,38.5,23.1,188.7,91.0,24.49,94.4,5.0,8.0,4.0,5.0,123.0,204.0,237.0,71.4,8.0,11.0,41.0,14.0,55.6
5371,2012.0,4.0,0.0,1.0,79.0,109.0,-30.0,0.0,5.0,186.0,150.0,336.0,1.24,76.0,72.0,36.0,16.0,22.0,11.0,4.0,11.0,2.0,24.0,45.8,30.55,14.0,35.0,52.0,25.0,54.0,2.25,4.91,40.7,20.4,187.2,87.1,24.91,89.5,7.0,6.0,6.0,3.0,140.0,200.0,237.0,70.5,11.0,11.0,60.0,16.0,36.4,223.0,130.0,353.0,1.72,103.0,76.0,48.0,22.0,16.0,15.0,13.0,16.0,3.0,34.0,44.1,23.53,10.38,38.0,37.0,37.0,49.0,1.44,3.27,63.3,30.6,186.5,86.0,24.33,77.5,8.0,8.0,4.0,2.0,142.0,220.0,255.0,72.2,9.0,10.0,47.0,6.0,86.7
5380,2012.0,5.0,1.0,1.0,65.0,57.0,8.0,1.0,6.0,223.0,149.0,372.0,1.5,109.0,68.0,54.0,14.0,16.0,10.0,3.0,4.0,1.0,15.0,66.7,37.2,24.8,30.0,41.0,28.0,46.0,3.07,4.6,30.4,21.7,187.1,86.8,25.16,97.4,5.0,7.0,6.0,4.0,126.0,240.0,285.0,76.6,7.0,4.0,45.0,10.0,30.0,201.0,156.0,357.0,1.29,95.0,81.0,32.0,16.0,14.0,7.0,7.0,11.0,4.0,22.0,31.8,51.0,16.23,40.0,37.0,32.0,41.0,1.86,5.86,43.9,17.1,189.0,88.8,25.8,84.6,8.0,8.0,3.0,3.0,125.0,234.0,268.0,75.1,8.0,7.0,49.0,4.0,100.0
5394,2012.0,6.0,0.0,0.0,110.0,43.0,67.0,1.0,9.0,236.0,140.0,376.0,1.69,122.0,77.0,47.0,11.0,14.0,15.0,10.0,18.0,2.0,35.0,42.9,25.07,10.74,28.0,37.0,27.0,63.0,1.8,4.2,52.4,23.8,186.9,85.9,24.58,84.7,5.0,9.0,4.0,4.0,144.0,230.0,263.0,69.9,18.0,20.0,54.0,16.0,66.7,180.0,167.0,347.0,1.08,86.0,64.0,24.0,14.0,11.0,6.0,6.0,7.0,0.0,13.0,46.2,57.83,26.69,41.0,37.0,44.0,33.0,2.54,5.5,39.4,18.2,186.4,83.5,22.58,47.6,16.0,3.0,0.0,3.0,131.0,222.0,247.0,71.2,7.0,9.0,62.0,13.0,100.0
