team,year,Firstname,Surname,PAV_total
9,2020, Tom,Hutchesson,0.5
9,2020, Connor,Idun,1.16
9,2020, Sam,Jacobs,8.22
9,2020, Lachlan,Keeffe,9.7
9,2020, Josh,Kelly,17.7
9,2020, Adam,Kennedy,3.13
9,2020, Zac,Langdon,2.64
9,2020, Daniel,Lloyd,6.55
9,2020, Shane,Mumford,9.38
9,2020, Xavier,OHalloran,1.38
9,2020, Harry,Perryman,15.67
9,2020, Sam,Reid,0.67
9,2020, Jake,Riccardi,4.66
9,2020, Heath,Shaw,11.45
9,2020, Tom,Sheridan,0.06
9,2020, Tim,Taranto,11.06
9,2020, Sam,Taylor,2.5
9,2020, Callan,Ward,5.61
9,2020, Lachie,Whitfield,16.5
9,2020, Zac,Williams,7.62
10,2020, Luke,Breust,14.02
10,2020, Keegan,Brooksby,0.66
10,2020, Shaun,Burgoyne,11.44
10,2020, Jonathon,Ceglar,12.42
10,2020, James,Cousins,6.99
10,2020, Will,Day,7.52
10,2020, James,Frawley,6.91
10,2020, Sam,Frost,8.55
10,2020, Conor,Glass,2.33
10,2020, Damon,Greaves,2.95
10,2020, Jack,Gunston,18.42
10,2020, Oliver,Hanrahan,4
10,2020, Blake,Hardwick,10.99
10,2020, Michael,Hartley,1.76
10,2020, Ricky,Henderson,4
10,2020, Daniel,Howe,3.52
10,2020, Jarman,Impey,1.62
10,2020, Changkuoth,Jiath,1.82
10,2020, Harry,Jones,0.38
10,2020, Mitch,Lewis,3.7
10,2020, Finn,Maginness,0.33
10,2020, Ben,McEvoy,11.99
10,2020, Darren,Minchington,2.16
10,2020, Tom,Mitchell,16.83
10,2020, Dylan,Moore,2
10,2020, Josh,Morris,1.43
10,2020, Harry,Morrison,6.65
10,2020, Conor,Nash,0.65
10,2020, Tim,OBrien,11.45
10,2020, Jaeger,OMeara,13.22
10,2020, Jonathon,Patton,2.45
10,2020, Paul,Puopolo,3.13
10,2020, Jack,Scrimshaw,8.22
10,2020, Tom,Scully,9.13
10,2020, Liam,Shiels,13.63
10,2020, James,Sicily,11.73
10,2020, Isaac,Smith,8.38
10,2020, Ben,Stratton,4.98
10,2020, Chad,Wingard,17.85
10,2020, James,Worpel,12.41
11,2020, Oskar,Baker,2.11
11,2020, Toby,Bedford,0.35
11,2020, Harley,Bennell,3.22
11,2020, Angus,Brayshaw,11.96
11,2020, Mitch,Brown,2.43
11,2020, Bayley,Fritsch,14.49
11,2020, Max,Gawn,23.34
11,2020, Mitch,Hannan,6.14
11,2020, James,Harmes,6.92
11,2020, Michael,Hibberd,10.23
11,2020, Jayden,Hunt,4.31
11,2020, Luke,Jackson,3.81
11,2020, Neville,Jetta,1.55
11,2020, Nathan,Jones,4.14
11,2020, Ed,Langdon,14.07
11,2020, Jake,Lever,13.44
11,2020, Jay,Lockhart,4.31
11,2020, Steven,May,18.93
11,2020, Oscar,McDonald,4.21
11,2020, Tom,McDonald,5.27
11,2020, Jake,Melksham,12.88
11,2020, Alex,Neal-Bullen,4.29
