"round.year","round.roundNumber","match.homeTeam.name","match.awayTeam.name","venue.name"
"2014",4,"Carlton","Melbourne","MCG"
"2014",4,"Port Adelaide","Brisbane Lions","Adelaide Oval"
"2014",4,"GWS Giants","Western Bulldogs","Manuka Oval"
"2014",4,"Geelong Cats","West Coast Eagles","GMHBA Stadium"
"2014",4,"Gold Coast Suns","Hawthorn","Metricon Stadium"
"2014",4,"Sydney Swans","North Melbourne","SCG"
"2014",4,"St Kilda","Adelaide Crows","Marvel Stadium"
"2014",4,"Fremantle","Essendon","Domain Stadium"
"2014",5,"Brisbane Lions","Richmond","Gabba"
"2014",5,"Collingwood","North Melbourne","MCG"
"2014",5,"Sydney Swans","Fremantle","SCG"
"2014",5,"West Coast Eagles","Port Adelaide","Domain Stadium"
"2014",5,"Essendon","St Kilda","Marvel Stadium"
"2014",5,"Adelaide Crows","GWS Giants","Adelaide Oval"
"2014",5,"Melbourne","Gold Coast Suns","MCG"
"2014",5,"Western Bulldogs","Carlton","Marvel Stadium"
"2014",5,"Geelong Cats","Hawthorn","MCG"
"2014",6,"Collingwood","Essendon","MCG"
"2014",6,"St Kilda","Brisbane Lions","Westpac Stadium"
"2014",6,"Fremantle","North Melbourne","Domain Stadium"
"2014",6,"Gold Coast Suns","GWS Giants","Metricon Stadium"
"2014",6,"Carlton","West Coast Eagles","Marvel Stadium"
"2014",6,"Melbourne","Sydney Swans","MCG"
"2014",6,"Western Bulldogs","Adelaide Crows","Marvel Stadium"
"2014",6,"Richmond","Hawthorn","MCG"
"2014",6,"Port Adelaide","Geelong Cats","Adelaide Oval"
"2014",7,"Carlton","Collingwood","MCG"
"2014",7,"Hawthorn","St Kilda","MCG"
"2014",7,"GWS Giants","Port Adelaide","Manuka Oval"
"2014",7,"Adelaide Crows","Melbourne","Adelaide Oval"
"2014",7,"Brisbane Lions","Sydney Swans","Gabba"
"2014",7,"Essendon","Western Bulldogs","Marvel Stadium"
"2014",7,"North Melbourne","Gold Coast Suns","Marvel Stadium"
"2014",7,"Geelong Cats","Richmond","MCG"
"2014",7,"West Coast Eagles","Fremantle","Domain Stadium"
"2014",8,"Sydney Swans","Hawthorn","Accor Stadium Australia"
"2014",8,"Port Adelaide","Fremantle","Adelaide Oval"
"2014",8,"Brisbane Lions","Essendon","Gabba"
"2014",8,"Melbourne","Western Bulldogs","MCG"
"2014",8,"West Coast Eagles","GWS Giants","Domain Stadium"
"2014",8,"St Kilda","Carlton","Marvel Stadium"
"2014",9,"Adelaide Crows","Collingwood","Adelaide Oval"
"2014",9,"Essendon","Sydney Swans","Marvel Stadium"
"2014",9,"Richmond","Melbourne","MCG"
"2014",9,"North Melbourne","Brisbane Lions","Marvel Stadium"
"2014",9,"Fremantle","Geelong Cats","Domain Stadium"
"2014",9,"St Kilda","Gold Coast Suns","Marvel Stadium"
"2014",10,"Geelong Cats","North Melbourne","GMHBA Stadium"
"2014",10,"GWS Giants","Richmond","GIANTS Stadium"
"2014",10,"Collingwood","West Coast Eagles","MCG"
"2014",10,"Port Adelaide","Hawthorn","Adelaide Oval"
"2014",10,"Gold Coast Suns","Western Bulldogs","Metricon Stadium"
"2014",10,"Carlton","Adelaide Crows","MCG"
"2014",11,"Sydney Swans","Geelong Cats","SCG"
"2014",11,"St Kilda","Collingwood","Marvel Stadium"
"2014",11,"Melbourne","Port Adelaide","TIO Traeger Park"
"2014",11,"Brisbane Lions","Carlton","Gabba"
"2014",11,"Essendon","Richmond","MCG"
"2014",11,"Adelaide Crows","Gold Coast Suns","Adelaide Oval"
"2014",11,"Western Bulldogs","Fremantle","Marvel Stadium"
"2014",11,"Hawthorn","GWS Giants","MCG"
"2014",11,"West Coast Eagles","North Melbourne","Domain Stadium"
"2014",12,"Geelong Cats","Carlton","Marvel Stadium"
"2014",12,"Hawthorn","West Coast Eagles","University of Tasmania Stadium"
"2014",12,"Port Adelaide","St Kilda","Adelaide Oval"
"2014",12,"Western Bulldogs","Brisbane Lions","Marvel Stadium"
"2014",12,"GWS Giants","Essendon","GIANTS Stadium"
"2014",12,"Gold Coast Suns","Sydney Swans","Metricon Stadium"
"2014",12,"Fremantle","Adelaide Crows","Domain Stadium"
"2014",12,"North Melbourne","Richmond","Marvel Stadium"
"2014",12,"Melbourne","Collingwood","MCG"
"2014",13,"Carlton","Hawthorn","MCG"
"2014",13,"Richmond","Fremantle","MCG"
"2014",13,"Sydney Swans","Port Adelaide","SCG"
"2014",13,"West Coast Eagles","Gold Coast Suns","Domain Stadium"
"2014",13,"Brisbane Lions","GWS Giants","Gabba"
"2014",13,"Adelaide Crows","North Melbourne","Adelaide Oval"
"2014",13,"Geelong Cats","St Kilda","GMHBA Stadium"
"2014",13,"Collingwood","Western Bulldogs","Marvel Stadium"
"2014",13,"Essendon","Melbourne","MCG"
"2014",14,"Richmond","Sydney Swans","MCG"
"2014",14,"Port Adelaide","Western Bulldogs","Adelaide Oval"
"2014",14,"Hawthorn","Collingwood","MCG"
"2014",14,"Gold Coast Suns","Geelong Cats","Metricon Stadium"
"2014",14,"Fremantle","Brisbane Lions","Domain Stadium"
"2014",14,"Essendon","Adelaide Crows","Marvel Stadium"
"2014",14,"GWS Giants","Carlton","GIANTS Stadium"
"2014",14,"St Kilda","West Coast Eagles","Marvel Stadium"
"2014",14,"Melbourne","North Melbourne","MCG"
"2014",15,"Geelong Cats","Essendon","Marvel Stadium"
"2014",15,"Hawthorn","Gold Coast Suns","University of Tasmania Stadium"
"2014",15,"St Kilda","Richmond","Marvel Stadium"
"2014",15,"Fremantle","West Coast Eagles","Domain Stadium"
"2014",15,"Sydney Swans","GWS Giants","SCG"
"2014",15,"Brisbane Lions","North Melbourne","Gabba"
"2014",15,"Western Bulldogs","Melbourne","Marvel Stadium"
"2014",15,"Adelaide Crows","Port Adelaide","Adelaide Oval"
"2014",15,"Collingwood","Carlton","MCG"
"2014",16,"North Melbourne","Hawthorn","Marvel Stadium"
"2014",16,"Richmond","Brisbane Lions","MCG"
"2014",16,"GWS Giants","Adelaide Crows","GIANTS Stadium"
"2014",16,"Gold Coast Suns","Collingwood","Metricon Stadium"
"2014",16,"Melbourne","Fremantle","TIO Stadium"
"2014",16,"Port Adelaide","Essendon","Adelaide Oval"
"2014",16,"Carlton","St Kilda","Marvel Stadium"
"2014",16,"West Coast Eagles","Sydney Swans","Domain Stadium"
"2014",16,"Geelong Cats","Western Bulldogs","GMHBA Stadium"
"2014",17,"Adelaide Crows","Hawthorn","Adelaide Oval"
"2014",17,"Melbourne","Geelong Cats","MCG"
"2014",17,"North Melbourne","St Kilda","Blundstone Arena"
"2014",17,"Western Bulldogs","Gold Coast Suns","Cazalys Stadium"
"2014",17,"Brisbane Lions","West Coast Eagles","Gabba"
"2014",17,"Sydney Swans","Carlton","SCG"
"2014",17,"Richmond","Port Adelaide","Marvel Stadium"
"2014",17,"Essendon","Collingwood","MCG"
"2014",17,"Fremantle","GWS Giants","Domain Stadium"
"2014",18,"Carlton","North Melbourne","Marvel Stadium"
"2014",18,"St Kilda","Fremantle","Marvel Stadium"
"2014",18,"GWS Giants","Geelong Cats","GIANTS Stadium"
"2014",18,"Port Adelaide","Melbourne","Adelaide Oval"
"2014",18,"Western Bulldogs","Essendon","Marvel Stadium"
"2014",18,"West Coast Eagles","Richmond","Domain Stadium"
"2014",18,"Brisbane Lions","Gold Coast Suns","Gabba"
"2014",18,"Hawthorn","Sydney Swans","MCG"
"2014",18,"Collingwood","Adelaide Crows","MCG"
"2014",19,"Fremantle","Carlton","Domain Stadium"
"2014",19,"Sydney Swans","Essendon","SCG"
"2014",19,"Adelaide Crows","West Coast Eagles","Adelaide Oval"
"2014",19,"Richmond","GWS Giants","MCG"
"2014",19,"Gold Coast Suns","St Kilda","Metricon Stadium"
"2014",19,"North Melbourne","Geelong Cats","Marvel Stadium"
"2014",19,"Melbourne","Brisbane Lions","Marvel Stadium"
"2014",19,"Hawthorn","Western Bulldogs","University of Tasmania Stadium"
"2014",19,"Collingwood","Port Adelaide","MCG"
"2014",20,"Richmond","Essendon","MCG"
"2014",20,"GWS Giants","North Melbourne","Manuka Oval"
"2014",20,"Carlton","Gold Coast Suns","Marvel Stadium"
"2014",20,"Hawthorn","Melbourne","MCG"
"2014",20,"Port Adelaide","Sydney Swans","Adelaide Oval"
"2014",20,"Geelong Cats","Fremantle","GMHBA Stadium"
"2014",20,"Brisbane Lions","Adelaide Crows","Gabba"
"2014",20,"St Kilda","Western Bulldogs","Marvel Stadium"
"2014",20,"West Coast Eagles","Collingwood","Domain Stadium"
"2014",21,"Carlton","Geelong Cats","Marvel Stadium"
"2014",21,"Sydney Swans","St Kilda","SCG"
"2014",21,"Gold Coast Suns","Port Adelaide","Metricon Stadium"
"2014",21,"Essendon","West Coast Eagles","Marvel Stadium"
"2014",21,"Collingwood","Brisbane Lions","MCG"
"2014",21,"Adelaide Crows","Richmond","Adelaide Oval"
"2014",21,"North Melbourne","Western Bulldogs","Marvel Stadium"
"2014",21,"Melbourne","GWS Giants","MCG"
"2014",21,"Fremantle","Hawthorn","Domain Stadium"
"2014",22,"Port Adelaide","Carlton","Adelaide Oval"
"2014",22,"North Melbourne","Adelaide Crows","Blundstone Arena"
"2014",22,"Essendon","Gold Coast Suns","Marvel Stadium"
"2014",22,"GWS Giants","Collingwood","GIANTS Stadium"
"2014",22,"West Coast Eagles","Melbourne","Domain Stadium"
"2014",22,"Hawthorn","Geelong Cats","MCG"
"2014",22,"Brisbane Lions","Fremantle","Gabba"
"2014",22,"Western Bulldogs","Sydney Swans","Marvel Stadium"
"2014",22,"Richmond","St Kilda","MCG"
"2014",23,"Collingwood","Hawthorn","MCG"
"2014",23,"Carlton","Essendon","MCG"
"2014",23,"Fremantle","Port Adelaide","Domain Stadium"
"2014",23,"Sydney Swans","Richmond","Accor Stadium Australia"
"2014",23,"North Melbourne","Melbourne","Marvel Stadium"
"2014",23,"Geelong Cats","Brisbane Lions","GMHBA Stadium"
"2014",23,"Gold Coast Suns","West Coast Eagles","Metricon Stadium"
"2014",23,"Adelaide Crows","St Kilda","Adelaide Oval"
"2014",23,"Western Bulldogs","GWS Giants","Marvel Stadium"
"2014",24,"Hawthorn","Geelong Cats","MCG"
"2014",24,"Sydney Swans","Fremantle","Accor Stadium Australia"
"2014",24,"North Melbourne","Essendon","MCG"
"2014",24,"Port Adelaide","Richmond","Adelaide Oval"
"2014",25,"Geelong Cats","North Melbourne","MCG"
"2014",25,"Fremantle","Port Adelaide","Domain Stadium"
"2014",26,"Sydney Swans","North Melbourne","Accor Stadium Australia"
"2014",26,"Hawthorn","Port Adelaide","MCG"
"2014",27,"Sydney Swans","Hawthorn","MCG"
"2015",1,"Carlton","Richmond","MCG"
"2015",1,"Melbourne","Gold Coast Suns","MCG"
"2015",1,"Sydney Swans","Essendon","Accor Stadium Australia"
"2015",1,"Brisbane Lions","Collingwood","Gabba"
"2015",1,"Western Bulldogs","West Coast Eagles","Marvel Stadium"
"2015",1,"St Kilda","GWS Giants","Marvel Stadium"
"2015",1,"Adelaide Crows","North Melbourne","Adelaide Oval"
"2015",1,"Fremantle","Port Adelaide","Domain Stadium"
"2015",1,"Hawthorn","Geelong Cats","MCG"
"2015",2,"West Coast Eagles","Carlton","Domain Stadium"
"2015",2,"Richmond","Western Bulldogs","MCG"
"2015",2,"GWS Giants","Melbourne","Manuka Oval"
"2015",2,"Collingwood","Adelaide Crows","Marvel Stadium"
"2015",2,"Gold Coast Suns","St Kilda","Metricon Stadium"
"2015",2,"Port Adelaide","Sydney Swans","Adelaide Oval"
"2015",2,"Geelong Cats","Fremantle","GMHBA Stadium"
"2015",2,"Essendon","Hawthorn","MCG"
"2015",2,"North Melbourne","Brisbane Lions","Marvel Stadium"
"2015",3,"Collingwood","St Kilda","MCG"
"2015",3,"Carlton","Essendon","MCG"
"2015",3,"Adelaide Crows","Melbourne","Adelaide Oval"
"2015",3,"Sydney Swans","GWS Giants","SCG"
"2015",3,"North Melbourne","Port Adelaide","Marvel Stadium"
"2015",3,"Brisbane Lions","Richmond","Gabba"
"2015",3,"Hawthorn","Western Bulldogs","University of Tasmania Stadium"
"2015",3,"Geelong Cats","Gold Coast Suns","GMHBA Stadium"
"2015",3,"West Coast Eagles","Fremantle","Domain Stadium"
"2015",4,"Richmond","Melbourne","MCG"
"2015",4,"St Kilda","Carlton","Westpac Stadium"
"2015",4,"Essendon","Collingwood","MCG"
"2015",4,"GWS Giants","Gold Coast Suns","Manuka Oval"
"2015",4,"Port Adelaide","Hawthorn","Adelaide Oval"
"2015",4,"Fremantle","Sydney Swans","Domain Stadium"
"2015",4,"Brisbane Lions","West Coast Eagles","Gabba"
"2015",4,"Geelong Cats","North Melbourne","GMHBA Stadium"
"2015",4,"Western Bulldogs","Adelaide Crows","Marvel Stadium"
"2015",5,"Carlton","Collingwood","MCG"
"2015",5,"Richmond","Geelong Cats","MCG"
"2015",5,"Sydney Swans","Western Bulldogs","SCG"
"2015",5,"Gold Coast Suns","Brisbane Lions","Metricon Stadium"
"2015",5,"North Melbourne","Hawthorn","Marvel Stadium"
"2015",5,"West Coast Eagles","GWS Giants","Domain Stadium"
"2015",5,"Melbourne","Fremantle","MCG"
"2015",5,"St Kilda","Essendon","Marvel Stadium"
"2015",5,"Adelaide Crows","Port Adelaide","Adelaide Oval"
"2015",6,"Collingwood","Geelong Cats","MCG"
"2015",6,"North Melbourne","Richmond","Blundstone Arena"
"2015",6,"Western Bulldogs","St Kilda","Marvel Stadium"
"2015",6,"GWS Giants","Hawthorn","GIANTS Stadium"
"2015",6,"Gold Coast Suns","Adelaide Crows","Metricon Stadium"
"2015",6,"Melbourne","Sydney Swans","MCG"
