"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Dale, Bailey","WB","23","2.82","11.06","4.14","18.02","-0.352","1.544","-0.047","0.381"
"DAmbrosio, Massimo","ES","8","0.82","1.12","0.43","2.37","-0.482","-0.294","-0.726","-0.501"
"Dangerfield, Patrick","GE","18","4.54","2.96","10.11","17.60","0.450","-0.055","2.228","0.874"
"Daniel, Caleb","WB","19","1.10","6.37","2.30","9.78","-0.693","0.775","-0.360","-0.093"
"Daniher, Joe","BL","19","8.07","0.21","2.14","10.42","1.443","-0.935","-0.354","0.051"
"Darcy, Sam","WB","4","0.81","0.37","0.24","1.42","0.065","-0.505","-0.681","-0.373"
"Darcy, Sean","FR","21","7.51","1.92","9.23","18.66","0.974","-0.496","1.427","0.635"
"Darling, Jack","WC","21","10.64","1.74","1.43","13.81","1.564","-0.581","-0.656","0.109"
"Davies, Alex","GC","15","2.05","1.04","2.60","5.69","-0.308","-0.648","-0.124","-0.360"
"Davies-Uniacke, Luke","NM","21","5.60","3.08","7.92","16.60","0.350","-0.259","0.908","0.333"
"Davis, Ben","AD","5","0.24","0.11","0.10","0.45","-0.761","-0.887","-0.896","-0.848"
"Davis, Phil","GW","5","0.13","2.01","0.17","2.31","-0.864","1.030","-0.829","-0.221"
"Dawson, Jordan","AD","22","4.59","12.45","3.91","20.94","0.055","1.863","-0.101","0.606"
"Dawson, Kallan","NM","4","0.38","1.26","0.25","1.90","-0.515","0.598","-0.684","-0.200"
"Day, Sam","GC","4","1.47","0.30","0.50","2.26","0.860","-0.626","-0.372","-0.046"
"Day, Will","HW","17","1.36","4.83","1.75","7.94","-0.596","0.439","-0.478","-0.212"
"de Boer, Matt","GW","12","1.93","0.76","1.03","3.73","-0.185","-0.679","-0.564","-0.476"
"de Goey, Jordan","CW","19","5.19","2.89","7.90","15.98","0.570","-0.125","1.390","0.612"
"De Koning, Sam","GE","23","0.83","9.41","0.78","11.02","-0.794","1.354","-0.804","-0.081"
"De Koning, Tom","CA","19","4.23","2.56","6.13","12.92","0.127","-0.318","0.632","0.147"
"Dempsey, Oliver","GE","2","0.31","0.02","0.16","0.49","-0.110","-0.942","-0.531","-0.528"
"Dewar, Angus","WC","1","0.00","0.36","0.02","0.38","-1.000","0.839","-0.905","-0.355"
"Dixon, Charlie","PA","12","4.77","1.20","2.95","8.91","1.010","-0.496","0.245","0.253"
"Dixon, Hugh","WC","10","2.41","0.65","1.13","4.19","0.219","-0.673","-0.427","-0.294"
"Docherty, Sam","CA","22","2.62","10.12","4.89","17.64","-0.396","1.329","0.124","0.352"
"Doedee, Tom","AD","20","0.73","9.10","1.26","11.09","-0.814","1.301","-0.681","-0.065"
"Dow, Paddy","CA","4","0.07","0.11","0.64","0.82","-0.907","-0.864","-0.196","-0.656"
"Dow, Thomson","RI","6","0.57","0.85","1.93","3.35","-0.497","-0.252","0.701","-0.016"
"Draper, Sam","ES","22","6.93","3.03","8.99","18.95","0.593","-0.303","1.068","0.453"
"Drew, Willem","PA","22","2.86","3.07","7.31","13.24","-0.343","-0.295","0.682","0.015"
"Duggan, Liam","WC","20","2.50","5.84","2.24","10.58","-0.368","0.478","-0.432","-0.107"
"Dumont, Trent","PA","8","0.91","1.44","1.14","3.50","-0.424","-0.089","-0.276","-0.263"
"Duncan, Mitch","GE","22","3.59","6.62","4.94","15.15","-0.061","0.730","0.291","0.320"
"Dunkley, Josh","WB","23","5.92","3.68","8.97","18.56","0.361","-0.154","1.062","0.423"
"Dunstan, Luke","ME","5","0.39","0.25","1.15","1.80","-0.567","-0.719","0.273","-0.338"
"Durdin, Corey","CA","21","4.39","1.13","2.24","7.76","0.058","-0.727","-0.460","-0.376"
"Durdin, Sam","CA","1","-0.02","0.68","0.07","0.72","-1.124","2.431","-0.659","0.216"
"Durham, Sam","ES","20","2.07","2.87","2.45","7.39","-0.476","-0.275","-0.380","-0.377"
"Duryea, Taylor","WB","12","0.79","2.45","1.11","4.35","-0.652","0.081","-0.510","-0.361"
"Duursma, Xavier","PA","11","1.80","1.72","1.47","4.98","-0.174","-0.209","-0.326","-0.236"
"Edwards, Harry","WC","17","0.07","4.81","0.36","5.23","-0.980","0.432","-0.893","-0.481"
"Edwards, Luke","WC","3","0.20","0.18","0.25","0.63","-0.667","-0.703","-0.571","-0.647"
"Edwards, Shane","RI","22","4.99","1.39","3.63","10.01","0.199","-0.665","-0.126","-0.197"
"Elliott, Jamie","CW","19","6.05","0.87","2.65","9.57","0.832","-0.737","-0.198","-0.034"
"Ellis, Brandon","GC","21","3.51","5.42","4.07","13.00","-0.154","0.305","-0.019","0.044"
