"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Cunningham, Harry","SY","9","0.70","2.51","0.90","4.10","-0.715","0.025","-0.633","-0.441"
"Ward, Josh","HW","8","1.01","1.03","2.06","4.10","-0.537","-0.527","-0.051","-0.372"
"Menegola, Sam","GE","4","1.53","0.92","1.65","4.10","0.409","-0.157","0.520","0.257"
"Thilthorpe, Riley","AD","7","2.36","0.65","1.06","4.08","0.243","-0.658","-0.441","-0.285"
"Zerk-Thatcher, Brandon","ES","6","0.17","3.35","0.53","4.06","-0.893","1.055","-0.674","-0.171"
"Salem, Christian","ME","6","0.23","2.66","1.17","4.05","-0.862","0.629","-0.285","-0.173"
"Schache, Josh","WB","7","2.06","0.97","1.01","4.04","0.084","-0.490","-0.471","-0.292"
"Setterfield, Will","CA","8","0.80","1.72","1.50","4.01","-0.634","-0.210","-0.312","-0.385"
"Tomlinson, Adam","ME","6","-0.19","4.08","0.09","3.99","-1.119","1.505","-0.943","-0.185"
"OHalloran, Xavier","GW","10","1.02","1.26","1.63","3.91","-0.626","-0.538","-0.399","-0.521"
"Ronke, Ben","SY","7","2.58","0.36","0.93","3.88","0.355","-0.808","-0.509","-0.321"
"Parker, Matthew","RI","5","2.05","0.57","1.25","3.87","0.506","-0.579","-0.077","-0.050"
"Clark, Greg","WC","7","1.20","1.10","1.52","3.82","-0.370","-0.423","-0.200","-0.331"
"Jeffrey, Joel","GC","5","2.56","0.46","0.77","3.79","0.887","-0.665","-0.434","-0.071"
"Hough, Brady","WC","10","1.20","1.47","1.09","3.77","-0.559","-0.458","-0.598","-0.538"
"Cockatoo, Nakia","BL","6","1.59","0.72","1.41","3.73","-0.025","-0.556","-0.134","-0.238"
"Howe, Daniel","HW","8","1.07","1.49","1.16","3.71","-0.509","-0.315","-0.468","-0.431"
"Higgins, Shaun","GE","5","1.06","0.95","1.70","3.71","-0.218","-0.303","0.253","-0.090"
"Smith, Devon","ES","8","2.37","0.09","1.23","3.70","0.089","-0.957","-0.432","-0.433"
"Stephens, Dylan","SY","6","0.77","1.13","1.79","3.69","-0.530","-0.306","0.097","-0.246"
"Fyfe, Nat","FR","4","1.95","0.29","1.45","3.69","0.794","-0.729","0.332","0.132"
"Gollant, Lachlan","AD","7","2.66","0.56","0.43","3.65","0.396","-0.704","-0.773","-0.360"
"McKay, Ben","NM","10","0.45","2.99","0.19","3.63","-0.835","0.099","-0.930","-0.555"
"Waterman, Alec","ES","8","3.00","0.00","0.61","3.61","0.378","-0.998","-0.719","-0.447"
"Milera, Wayne","AD","7","2.11","0.72","0.78","3.61","0.109","-0.623","-0.588","-0.367"
"Jamieson, Callum","WC","8","1.30","0.88","1.41","3.59","-0.401","-0.596","-0.352","-0.450"
"Vandermeer, Laitham","WB","6","1.88","0.43","1.27","3.57","0.151","-0.737","-0.223","-0.270"
"Jones, Harry","ES","6","2.54","0.42","0.60","3.56","0.559","-0.745","-0.630","-0.272"
"Pittonet, Marc","CA","5","0.82","0.51","2.23","3.56","-0.395","-0.626","0.638","-0.128"
"Dahlhaus, Luke","GE","9","1.69","0.50","1.30","3.49","-0.310","-0.797","-0.468","-0.525"
"Hughes, Ethan","FR","5","0.07","2.27","1.14","3.48","-0.947","0.670","-0.162","-0.147"
"Wicks, Sam","SY","8","1.57","0.59","1.31","3.46","-0.279","-0.731","-0.398","-0.469"
